FeedbackID,Text,Rating,Date,CustomerType
F001,Subscription is too expensive for small 5-person startup teams.,2,2025-08-14,Standard
F002,Great value for money compared to Jira and Asana enterprise tiers.,5,2025-08-19,Premium
F003,Too expensive.,1,2026-02-04,Standard
F004,The price hike after the February update is completely unreasonable.,1,2026-02-10,Standard
F005,Pricing increased by 25% without any advance email notification.,2,2026-02-12,Enterprise
F006,We need a cheaper starter plan for teams that only need basic task boards.,3,2026-01-20,Standard
F007,Pricing is very reasonable considering the rich feature set.,4,2025-11-05,Premium
F008,Confusion regarding seat limits on the Standard tier. Unclear documentation.,2,2026-02-18,Standard
F009,The enterprise tier pricing is well worth the dedicated support manager.,5,2025-10-14,Enterprise
F010,Cost per seat is too steep compared to ClickUp.,2,2026-02-08,Standard
F011,Affordable and crystal-clear pricing model.,5,2025-09-22,Premium
F012,Annual discount should really be 20% instead of 10%.,3,2025-12-11,Standard
F013,Why are audit logs locked behind the most expensive Enterprise tier?,2,2026-02-22,Enterprise
F014,Flexible pricing tiers make it effortless to scale team seats up or down.,5,2025-10-28,Premium
F015,Hidden charges showed up on our monthly invoice after inviting a guest collaborator.,1,2026-02-12,Standard
F016,Worth every penny for the productivity boost our team experienced.,5,2025-07-15,Enterprise
F017,"Expensive, but the time saved on sprint planning offsets the cost.",4,2025-09-08,Premium
F018,Pricing structure is needlessly complicated with add-on feature packages.,2,2026-02-16,Standard
F019,Decent pricing for mid-market companies.,4,2025-06-25,Premium
F020,The free trial is too short to evaluate all enterprise security capabilities.,3,2026-02-01,Enterprise
F021,Overpriced for solo freelancers.,2,2025-05-18,Standard
F022,Pricing per seat scales reasonably for our 80-person engineering team.,4,2025-11-30,Enterprise
F023,Unexpected price jump on auto-renewal. Very unhappy.,1,2026-02-17,Standard
F024,Competitive pricing compared to legacy tools.,4,2025-04-12,Standard
F025,Would love a pay-as-you-go model for sporadic contractors.,3,2026-01-29,Premium
F026,Way too costly after recent tier changes.,1,2026-02-19,Standard
F027,Good pricing for enterprise volume licensing.,5,2025-12-05,Enterprise
F028,"Slightly expensive for non-profits, wish you had education discounts.",3,2025-08-02,Standard
F029,Best ROI of any SaaS tool in our tech stack.,5,2025-10-18,Enterprise
F030,The price jump from Standard to Premium is too steep.,2,2026-02-15,Standard
F031,Please add dark mode support! Late night sprint reviews are blinding.,3,2025-08-20,Standard
F032,The Gantt chart and milestone tracking features are simply outstanding.,5,2025-09-04,Enterprise
F033,Missing native integration with GitHub and GitLab. Webhooks feel clunky.,2,2025-11-18,Premium
F034,Automations fail silently without sending alert emails to workspace admins.,1,2025-10-22,Enterprise
F035,Love the customizable workflow templates for agile sprint planning.,5,2025-12-03,Premium
F036,Export to Excel and PDF reports is missing key summary statistics and charts.,3,2026-01-15,Standard
F037,The recurring task automation saves our operations team 5 hours every week!,5,2025-09-30,Standard
F038,Mobile application lacks custom dashboard widgets and offline syncing.,2,2025-11-29,Standard
F039,Need sub-task dependencies and critical path calculation on the timeline view.,3,2026-01-08,Enterprise
F040,Time tracking integration with Harvest is flawless and accurate.,5,2025-08-28,Premium
F041,Cannot customize notification rules per project; inbox is getting flooded with spam.,2,2025-10-12,Standard
F042,"The custom fields feature is very flexible, powerful, and easy to configure.",4,2025-12-20,Premium
F043,Need two-factor authentication (2FA) enforced org-wide for all members.,4,2026-01-25,Enterprise
F044,"Search filter doesn't save previous queries, have to re-type filters every time.",3,2025-10-05,Standard
F045,Document collaboration and live commenting inside tasks works really well.,5,2025-09-18,Premium
F046,Kanban board WIP limits have significantly improved our team flow.,5,2025-07-22,Standard
F047,Would like native video recording integration inside task comments.,4,2025-11-14,Premium
F048,Sprint velocity charts are inaccurate when story points are updated mid-sprint.,2,2025-10-16,Enterprise
F049,Checklist templates are a lifesaver for repetitive client onboarding tasks.,5,2025-06-11,Standard
F050,Role-based access control (RBAC) needs granular permission levels for external clients.,3,2026-01-18,Enterprise
F051,Calendar view doesn't sync properly with Google Calendar two-way.,2,2025-09-27,Standard
F052,Automated recurring reports sent via email every Monday morning work great.,5,2025-12-22,Premium
F053,Custom dashboard widgets are top tier! Our executive team loves the summary view.,5,2026-01-10,Enterprise
F054,Tagging team members in comment threads sometimes fails to send push notifications.,2,2025-10-08,Standard
F055,Forms feature for external client intake requests is super neat and saves time.,4,2025-08-11,Standard
F056,Roadmap timeline view is clean and easy to present during board meetings.,5,2025-12-18,Enterprise
F057,Need bulk task editing capabilities across multiple projects at once.,3,2025-09-05,Premium
F058,File preview for .psd and .fig files inside attachments does not work.,3,2025-11-06,Standard
F059,Webhook triggers are fast and reliable for Zapier workflows.,4,2025-07-09,Standard
F060,Please let us customize status colors on the board view.,3,2026-02-02,Standard
F061,Support agent Sarah was super helpful and resolved our issue in 10 mins!,5,2025-09-14,Premium
F062,Support ticket #8921 has been open for 6 days with no response from staff.,1,2025-10-19,Standard
F063,Enterprise dedicated support rep Alex is top notch and always proactive.,5,2025-11-12,Enterprise
F064,Support agent was rude and clearly did not read my ticket details before replying.,1,2025-10-25,Standard
F065,Average support experience. Solved the problem eventually but took 48 hours.,3,2025-12-14,Standard
F066,No live chat option available for standard tier users. Email-only is frustrating.,2,2026-01-19,Standard
F067,Quick turnaround on our permission migration request. Kudos to the tech team!,5,2025-08-31,Enterprise
F068,Automated chatbot keeps looping and refuses to connect me to a human agent.,1,2025-10-30,Standard
F069,Support team helped us recover accidentally deleted project workspace data.,5,2026-02-01,Premium
F070,Ticket marked as resolved by agent even though the bug still persists.,1,2025-10-18,Standard
F071,Helpful onboarding session provided by the customer success team.,5,2025-05-20,Enterprise
F072,Support response time has degraded over the last 3 months.,2,2025-11-25,Standard
F073,Prompt and courteous customer support team whenever we hit a snag.,4,2025-07-14,Premium
F074,Waited 2 hours on phone support only to be disconnected.,1,2025-10-21,Standard
F075,Documentation in the knowledge base is outdated and links are broken.,2,2025-12-08,Standard
F076,Enterprise SLA is adhered to strictly. Responses always under 15 minutes.,5,2026-01-22,Enterprise
F077,Support agent gave incorrect advice that caused duplicate tasks to be created.,1,2025-10-17,Standard
F078,Friendly support reps who genuinely try to help solve tricky edge cases.,4,2025-09-29,Standard
F079,Escalated ticket took over a week to reach tier 2 engineering support.,2,2025-11-08,Premium
F080,Customer success manager reached out proactively to review our usage. Great service.,5,2025-12-28,Enterprise
F081,Charged twice for the same monthly subscription cycle. Please refund ASAP.,1,2026-02-05,Standard
F082,Invoices are generated automatically and sent to accounting without hassle.,5,2025-11-20,Enterprise
F083,Unable to cancel subscription from settings page. Link goes to 404 error.,1,2026-02-09,Standard
F084,Refund requested 3 weeks ago has still not arrived in our bank account.,1,2026-02-15,Premium
F085,Credit card update was smooth and instant through the billing portal.,4,2025-12-08,Standard
F086,Billed for 50 seats when we only have 35 active users in our workspace.,1,2026-02-11,Enterprise
F087,Invoice does not display our company VAT / tax identification number properly.,2,2026-01-10,Premium
F088,Seamless transition from monthly to annual billing with clear receipt.,5,2025-09-08,Standard
F089,Auto-renewal occurred without a 7-day prior reminder email.,2,2026-02-16,Standard
F090,Payment gateway failed three times during checkout with valid cards.,2,2026-02-02,Standard
F091,Stripe billing integration works reliably without any issues.,4,2025-06-30,Premium
F092,Charged full price after applying promo coupon code.,1,2026-02-07,Standard
F093,Easy to download monthly billing history in PDF format.,4,2025-10-10,Standard
F094,Subscription cancellation process is intentionally deceptive and convoluted.,1,2026-02-13,Standard
F095,"Billing portal is clean, allows easy card changes and invoices download.",5,2025-08-04,Premium
F096,Got billed for inactive users who were deactivated last month.,1,2026-02-14,Enterprise
F097,Currency conversion charges added without explanation.,2,2026-02-06,Standard
F098,Annual billing discount was applied seamlessly.,5,2025-11-11,Premium
